ID,Project Name,Master Community,Launch Year,Start Price,Appreciation,Developer,Area,Unit Type,Community Type,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Service Charge,PPSM,Rental Yield %,File1 Appreciation,DXB Travel Time,DWC Travel Time,Downtown Travel Time,Marina Travel Time,Appreciation_Clean_%,Price_Segment,Projected_CAGR_24_26,Price_Vs_Community_Avg_%,Project_Stage
113,Motor City Uptown Apartments,Motor City,2016,950000,68%,Union Properties,Motor City,Apartments,Themed Community,950000,1200000,1450000,1596000,1596000,1596000,,13,1050,6.5,68,26m,24m,24m,28m,68,Affordable,,,Completed 2018
114,Motor City Oia Residences,Motor City,2017,1050000,65%,Union Properties,Motor City,Apartments,Themed Community,1050000,1300000,1550000,1701750,1732500,1732500,,13,1080,6.4,65,26m,24m,24m,28m,65,Mid-Range,,,Completed 2019
115,Green Community East Villas,Green Community,2015,2200000,70%,Union Properties,Green Community,Villas,Community,2200000,2750000,3200000,3674000,3740000,3740000,,17,1180,5.6,70,28m,22m,26m,30m,70,Mid-Range,,,Completed 2017
116,Green Community West Villas,Green Community,2016,2300000,68%,Union Properties,Green Community,Villas,Community,2300000,2850000,3300000,3818000,3864000,3864000,,17,1200,5.5,68,28m,22m,26m,30m,68,Mid-Range,,,Completed 2018
117,Ellington House,Downtown Dubai,2017,2800000,65%,Ellington Properties,Downtown,Apartments,Urban/Luxury,2800000,3400000,3900000,4494000,4620000,4620000,,24,2200,5.2,65,10m,45m,5m,20m,65,Luxury,,,Completed 2020
118,DT1,Downtown Dubai,2019,3200000,58%,Ellington Properties,Downtown,Apartments,Urban/Luxury,3200000,3800000,4400000,5056000,5056000,5056000,,25,2350,5.0,58,10m,45m,5m,20m,58,Luxury,,,Completed 2022
119,Belgravia Square,JVC,2018,1150000,55%,Ellington Properties,JVC,Townhouses,Community,1150000,1400000,1650000,1840500,1782500,1782500,,14,1120,6.2,55,23m,29m,22m,18m,55,Mid-Range,,,Completed 2020
120,Wilton Park Residences,MBR City,2020,1650000,48%,Ellington Properties,MBR City,Townhouses,Master Community,1650000,1900000,2150000,2409000,2442000,,,15,1250,5.8,48,20m,35m,15m,25m,48,Mid-Range,,,Completed 2023
121,The Citadel,Business Bay,2009,Commercial,75%,Deyaar Development,Business Bay,Commercial,Urban,,,,,,,,,,,75,15m,40m,12m,22m,75,Commercial,,,Completed 2009
122,Midtown Afnan,Dubai Production City,2019,680000,62%,Deyaar Development,Dubai Production City,Apartments,Community,680000,850000,1000000,1081600,1101200,,11,920,7.0,62,32m,18m,30m,35m,62,Affordable,,,Completed 2020
123,Midtown Dania,Dubai Production City,2019,700000,60%,Deyaar Development,Dubai Production City,Apartments,Community,700000,870000,1020000,1106000,1120000,,11,940,6.9,60,32m,18m,30m,35m,60,Affordable,,,Completed 2020
124,Midtown Mesk,Dubai Production City,2021,750000,52%,Deyaar Development,Dubai Production City,Apartments,Community,,,750000,880000,1065000,1140000,,11,960,6.8,52,32m,18m,30m,35m,52,Affordable,,,Completed 2022
125,Midtown Noor,Dubai Production City,2022,780000,48%,Deyaar Development,Dubai Production City,Apartments,Community,,,780000,910000,1081200,1153200,,11,980,6.7,48,32m,18m,30m,35m,48,Affordable,,,Completed 2023
126,Madison Residency,TECOM,2009,850000,78%,Deyaar Development,TECOM/Barsha Heights,Apartments,Urban,850000,1100000,1350000,1478500,1513000,1513000,,12,1050,6.8,78,18m,35m,18m,15m,78,Affordable,,,Completed 2009
127,Montrose,Business Bay,2016,1350000,68%,Deyaar Development,Business Bay,Apartments,Urban,1350000,1650000,1950000,2214000,2268000,2268000,,17,1420,6.0,68,15m,40m,12m,22m,68,Mid-Range,,,Completed 2018
128,Atria,Business Bay,2017,1450000,65%,Deyaar Development,Business Bay,Apartments,Urban,1450000,1750000,2050000,2357500,2392500,2392500,,17,1450,5.9,65,15m,40m,12m,22m,65,Mid-Range,,,Completed 2019
129,Regalia,Business Bay,2021,1650000,42%,Deyaar Development,Business Bay,Apartments,Urban/Luxury,,,1650000,1900000,2211000,2343000,,19,1680,5.8,42,15m,40m,12m,22m,42,Mid-Range,,,Completed 2024
130,DSO Coral Residences,Dubai Silicon Oasis,2009,720000,75%,Deyaar Development,Dubai Silicon Oasis,Apartments,Community,720000,950000,1150000,1242000,1260000,1260000,,10,880,7.2,75,24m,22m,22m,28m,75,Affordable,,,Completed 2009
131,DSO Jade Residences,Dubai Silicon Oasis,2009,700000,77%,Deyaar Development,Dubai Silicon Oasis,Apartments,Community,700000,930000,1130000,1218100,1239000,1239000,,10,870,7.3,77,24m,22m,22m,28m,77,Affordable,,,Completed 2009
132,DSO Ruby Residences,Dubai Silicon Oasis,2009,710000,76%,Deyaar Development,Dubai Silicon Oasis,Apartments,Community,710000,940000,1140000,1229440,1249600,1249600,,10,875,7.2,76,24m,22m,22m,28m,76,Affordable,,,Completed 2009
133,DSO Sapphire Residences,Dubai Silicon Oasis,2009,720000,75%,Deyaar Development,Dubai Silicon Oasis,Apartments,Community,720000,950000,1150000,1242000,1260000,1260000,,10,880,7.2,75,24m,22m,22m,28m,75,Affordable,,,Completed 2009
134,One Palm,Palm Jumeirah,2019,8500000,48%,Omniyat,Palm Jumeirah,Apartments,Waterfront/Ultra-Luxury,8500000,10000000,11500000,12410000,12580000,12580000,,35,3200,4.2,48,22m,35m,20m,12m,48,Ultra-Luxury,,,Completed 2022
135,The Opus by Zaha Hadid,Business Bay,2019,4500000,55%,Omniyat,Business Bay,Apartments,Urban/Luxury Branded,4500000,5300000,6200000,6862500,6975000,6975000,,30,2800,4.8,55,15m,40m,12m,22m,55,Ultra-Luxury,,,Completed 2020
136,Sterling West,Business Bay,2021,3200000,42%,Omniyat,Business Bay,Apartments,Urban/Luxury,,,3200000,3700000,4291000,4544000,,26,2500,5.0,42,15m,40m,12m,22m,42,Luxury,,,Completed 2024
137,LUMA Park,Town Square,2020,1550000,52%,Omniyat,Town Square,Apartments,Community,1550000,1800000,2050000,2294500,2356000,,,17,1480,5.9,52,28m,22m,26m,30m,52,Mid-Range,,,Completed 2023
138,MAG 5 Boulevard,Meydan,2018,950000,62%,MAG Property Development,Meydan,Apartments,Master Community,950000,1150000,1350000,1508700,1539000,1539000,,13,1060,6.6,62,18m,32m,16m,24m,62,Affordable,,,Completed 2020
139,MAG 318,Business Bay,2019,1400000,58%,MAG Property Development,Business Bay,Apartments,Urban,1400000,1650000,1900000,2156200,2212000,2212000,,17,1440,6.0,58,15m,40m,12m,22m,58,Mid-Range,,,Completed 2022
140,Samana Greens,Arjan,2022,750000,45%,Samana Developers,Arjan,Apartments,Community,,,750000,880000,1012500,1087500,,11,950,7.0,45,24m,26m,22m,25m,45,Affordable,,,Completed 2024
141,Tiger Lake City Tower,JLT,2008,950000,82%,Tiger Properties,JLT,Apartments,Urban,950000,1250000,1550000,1700850,1729000,1729000,,14,1120,6.5,82,16m,38m,16m,12m,82,Mid-Range,,,Completed 2008
142,Tiger O2 Tower,JVC,2016,720000,65%,Tiger Properties,JVC,Apartments,Community,720000,900000,1050000,1161000,1188000,1188000,,12,920,6.8,65,23m,29m,22m,18m,65,Affordable,,,Completed 2018
143,Tiger Regina Tower,JVC,2017,750000,62%,Tiger Properties,JVC,Apartments,Community,750000,930000,1080000,1192500,1215000,1215000,,12,940,6.7,62,23m,29m,22m,18m,62,Affordable,,,Completed 2019
144,Tiger Al Manara Tower,JVT,2016,920000,65%,Tiger Properties,JVT,Apartments,Community,920000,1150000,1350000,1490400,1518000,1518000,,13,1080,6.6,65,22m,28m,20m,18m,65,Affordable,,,Completed 2018
145,Tiger Sports City Tower,Sports City,2017,780000,60%,Tiger Properties,Sports City,Apartments,Themed Community,780000,970000,1120000,1232400,1248000,1248000,,12,970,6.9,60,26m,24m,24m,28m,60,Affordable,,,Completed 2019
146,Nshama Town Square Park 1,Town Square,2019,1200000,58%,Nshama,Town Square,Townhouses,Master Community,1200000,1450000,1700000,1872000,1896000,1896000,,14,1100,6.0,58,28m,22m,26m,30m,58,Mid-Range,,,Completed 2021
147,Nshama Town Square Zahra Apartments,Town Square,2018,950000,62%,Nshama,Town Square,Apartments,Master Community,950000,1150000,1350000,1504300,1539000,1539000,,13,1050,6.4,62,28m,22m,26m,30m,62,Mid-Range,,,Completed 2020
148,Nshama Town Square Safi Townhouses,Town Square,2017,1350000,65%,Nshama,Town Square,Townhouses,Master Community,1350000,1650000,1950000,2162250,2227500,2227500,,15,1120,5.9,65,28m,22m,26m,30m,65,Mid-Range,,,Completed 2019
149,Nshama Town Square Hayat Townhouses,Town Square,2018,1400000,60%,Nshama,Town Square,Townhouses,Master Community,1400000,1700000,1950000,2184000,2240000,2240000,,15,1130,5.8,60,28m,22m,26m,30m,60,Mid-Range,,,Completed 2020
150,Nshama Town Square Zahra Townhouses,Town Square,2019,1450000,55%,Nshama,Town Square,Townhouses,Master Community,1450000,1700000,1950000,2212750,2247500,2247500,,15,1140,5.7,55,28m,22m,26m,30m,55,Mid-Range,,,Completed 2021
151,Meydan Horizons,Meydan,2020,1350000,52%,Meydan Group,Meydan,Apartments,Mixed-Use,1350000,1550000,1800000,2052000,2052000,2052000,,15,1280,6.2,52,18m,32m,16m,24m,52,Mid-Range,,,Completed 2022
152,Meydan Avenue,Meydan,2021,1450000,48%,Meydan Group,Meydan,Apartments,Mixed-Use,,,1450000,1700000,2000800,2146000,,15,1300,6.1,48,18m,32m,16m,24m,48,Mid-Range,,,Completed 2024
153,Meydan Grand Stand Residences,Meydan,2018,2200000,60%,Meydan Group,Meydan,Apartments,Branded/Mixed-Use,2200000,2600000,3000000,3432000,3520000,3520000,,19,1650,5.5,60,18m,32m,16m,24m,60,Luxury,,,Completed 2021
154,Peninsula One,Business Bay,2021,2400000,45%,Select Group,Business Bay,Apartments,Urban/Waterfront,,,2400000,2750000,3234000,3480000,,21,1850,5.7,45,15m,40m,12m,22m,45,Luxury,,,Completed 2024
155,Peninsula Five,Business Bay,2023,1850000,35%,Select Group,Business Bay,Apartments,Urban/Waterfront,,,1850000,2100000,2368500,2497500,,19,1720,5.9,35,15m,40m,12m,22m,35,Mid-Range,,,Completed 2024
156,Marina Gate 1,Dubai Marina,2017,3500000,62%,Select Group,Dubai Marina,Apartments,Waterfront,3500000,4200000,4900000,5537000,5670000,5670000,,28,2450,5.2,62,18m,35m,25m,5m,62,Luxury,,,Completed 2020
157,Marina Gate 2,Dubai Marina,2018,3600000,58%,Select Group,Dubai Marina,Apartments,Waterfront,3600000,4300000,4950000,5598000,5688000,5688000,,28,2470,5.1,58,18m,35m,25m,5m,58,Luxury,,,Completed 2021
158,Studio One,Dubai Marina,2016,1650000,68%,Select Group,Dubai Marina,Apartments,Waterfront,1650000,2100000,2550000,2772000,2772000,2772000,,22,1880,5.7,68,18m,35m,25m,5m,68,Mid-Range,,,Completed 2019
159,The Torch,Dubai Marina,2011,1750000,85%,Select Group,Dubai Marina,Apartments,Waterfront,1750000,2400000,2950000,3115000,3237500,3237500,,24,1950,5.5,85,18m,35m,25m,5m,85,Luxury,,,Completed 2011
160,Pantheon Elysee,JVC,2019,720000,58%,Pantheon Development,JVC,Apartments,Community,720000,900000,1050000,1127400,1137600,1137600,,11,910,6.9,58,23m,29m,22m,18m,58,Affordable,,,Completed 2021
161,Pantheon Boulevard,JVC,2022,850000,42%,Pantheon Development,JVC,Apartments,Community,,,850000,990000,1144500,1207000,,12,950,6.8,42,23m,29m,22m,18m,42,Affordable,,,Completed 2024
162,Tilal Al Ghaf Elan,Tilal Al Ghaf,2021,3500000,48%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Master Community,,,3500000,4100000,4788000,5180000,,22,1650,5.2,48,26m,25m,24m,28m,48,Luxury,,,Completed 2023
163,Tilal Al Ghaf Uptown,Tilal Al Ghaf,2022,2800000,42%,Majid Al Futtaim,Tilal Al Ghaf,Apartments,Master Community,,,2800000,3250000,3724000,3976000,,20,1580,5.5,42,26m,25m,24m,28m,42,Luxury,,,Completed 2024
164,Tilal Al Ghaf Aura,Tilal Al Ghaf,2023,4500000,35%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Master Community,,,4500000,5150000,5805000,6075000,,23,1700,5.0,35,26m,25m,24m,28m,35,Luxury,,,Completed 2024
165,Tilal Al Ghaf Sarai,Tilal Al Ghaf,2021,3800000,45%,Majid Al Futtaim,Tilal Al Ghaf,Townhouses,Master Community,,,3800000,4400000,5092000,5510000,,21,1620,5.1,45,26m,25m,24m,28m,45,Luxury,,,Completed 2023
166,Iman Developers Oxford Residence 1,JVC,2018,720000,60%,Iman Developers,JVC,Apartments,Community,720000,900000,1050000,1123200,1152000,1152000,,11,920,6.8,60,23m,29m,22m,18m,60,Affordable,,,Completed 2020
167,Iman Developers Oxford Residence 2,JVC,2019,750000,58%,Iman Developers,JVC,Apartments,Community,750000,920000,1080000,1161000,1185000,1185000,,11,940,6.7,58,23m,29m,22m,18m,58,Affordable,,,Completed 2021
168,Al Habtoor City Residence Tower 1,Business Bay,2017,3200000,58%,Al Habtoor Group,Business Bay,Apartments,Mixed-Use Hospitality,3200000,3900000,4500000,4928000,5056000,5056000,,26,2350,5.3,58,15m,40m,12m,22m,58,Luxury,,,Completed 2019
169,Al Habtoor City Residence Tower 2,Business Bay,2017,3300000,55%,Al Habtoor Group,Business Bay,Apartments,Mixed-Use Hospitality,3300000,4000000,4600000,5060000,5115000,5115000,,26,2370,5.2,55,15m,40m,12m,22m,55,Luxury,,,Completed 2019
170,Wasl Hub,Al Jaddaf,2020,1250000,52%,Wasl Properties,Al Jaddaf,Apartments,Urban,1250000,1450000,1700000,1900000,1900000,,,15,1320,6.1,52,15m,38m,14m,23m,52,Mid-Range,,,Completed 2023
171,Wasl Gate,Al Jaddaf,2021,1350000,48%,Wasl Properties,Al Jaddaf,Apartments,Urban,,,1350000,1580000,1863000,1998000,,15,1350,6.0,48,15m,38m,14m,23m,48,Mid-Range,,,Completed 2024
172,Wasl Square,JVC,2019,750000,58%,Wasl Properties,JVC,Apartments,Community,750000,920000,1080000,1174500,1185000,1185000,,12,950,6.7,58,23m,29m,22m,18m,58,Affordable,,,Completed 2021
173,Al Mazaya E1,Business Bay,2016,1350000,68%,Al Mazaya Holding,Business Bay,Apartments,Urban,1350000,1650000,1950000,2214000,2268000,2268000,,17,1420,6.0,68,15m,40m,12m,22m,68,Mid-Range,,,Completed 2018
174,Al Mazaya E2,Business Bay,2017,1400000,65%,Al Mazaya Holding,Business Bay,Apartments,Urban,1400000,1700000,2000000,2282000,2310000,2310000,,17,1440,5.9,65,15m,40m,12m,22m,65,Mid-Range,,,Completed 2019
175,Al Mazaya A1,DIFC,2014,2400000,72%,Al Mazaya Holding,DIFC,Apartments,Urban/Commercial,2400000,3000000,3500000,3984000,4128000,4128000,,23,2050,5.4,72,12m,42m,10m,18m,72,Luxury,,,Completed 2016
176,Al Mazaya A2,DIFC,2015,2500000,70%,Al Mazaya Holding,DIFC,Apartments,Urban/Commercial,2500000,3100000,3600000,4125000,4250000,4250000,,23,2070,5.3,70,12m,42m,10m,18m,70,Luxury,,,Completed 2017
177,Time Properties Stella Maris,JVC,2018,720000,60%,Time Properties,JVC,Apartments,Community,720000,900000,1050000,1123200,1152000,1152000,,11,920,6.8,60,23m,29m,22m,18m,60,Affordable,,,Completed 2020
178,First Central Hotel Apartments TECOM,TECOM,2015,1100000,65%,The First Group,TECOM,Hotel Apartments,Urban,1100000,1400000,1650000,1765500,1815000,1815000,,14,1250,6.5,65,18m,35m,18m,15m,65,Mid-Range,,,Completed 2017
179,First Central Hotel Apartments Barsha,Barsha Heights,2016,1050000,68%,The First Group,Barsha Heights,Hotel Apartments,Urban,1050000,1350000,1600000,1747200,1764000,1764000,,14,1230,6.6,68,18m,35m,18m,15m,68,Mid-Range,,,Completed 2018
180,First Central Hotel Apartments Marina,Dubai Marina,2017,1650000,62%,The First Group,Dubai Marina,Hotel Apartments,Waterfront,1650000,2000000,2350000,2613300,2673000,2673000,,20,1750,5.8,62,18m,35m,25m,5m,62,Luxury,,,Completed 2019
181,Vincitore Palacio,Arjan,2020,720000,52%,Vincitore Real Estate,Arjan,Apartments,Community,720000,850000,1000000,1101600,1094400,,,11,940,7.0,52,24m,26m,22m,25m,52,Affordable,,,Completed 2023
182,Aqua Dimore,JVC,2018,700000,62%,Aqua Properties,JVC,Apartments,Community,700000,880000,1030000,1120400,1134000,1134000,,11,900,6.9,62,23m,29m,22m,18m,62,Affordable,,,Completed 2020
183,Prescott Mayfair Residency,Meydan,2017,1100000,65%,Prescott Real Estate,Meydan,Apartments,Mixed-Use,1100000,1350000,1600000,1760000,1815000,1815000,,14,1230,6.3,65,18m,32m,16m,24m,65,Mid-Range,,,Completed 2019
184,Prescott Mayfair Tower,Business Bay,2018,1350000,60%,Prescott Real Estate,Business Bay,Apartments,Urban,1350000,1600000,1900000,2106000,2160000,2160000,,16,1400,6.0,60,15m,40m,12m,22m,60,Mid-Range,,,Completed 2020
185,Imtiaz Luxor Tower,JVC,2023,680000,38%,Imtiaz Developments,JVC,Apartments,Community,,,680000,800000,912800,938400,,11,910,6.9,38,23m,29m,22m,18m,38,Affordable,,,Completed 2025
186,Imtiaz Le Rosa,Arjan,2022,650000,42%,Imtiaz Developments,Arjan,Apartments,Community,,,650000,770000,884300,922500,,10,890,7.1,42,24m,26m,22m,25m,42,Affordable,,,Completed 2024
187,LIV Residence Dubai Marina,Dubai Marina,2020,3200000,48%,LIV Developers,Dubai Marina,Apartments,Waterfront/Luxury,3200000,3750000,4300000,4723200,4736000,,,27,2400,5.2,48,18m,35m,25m,5m,48,Luxury,,,Completed 2023
188,Reportage The Pulse,The Pulse,2020,900000,55%,Reportage Properties,The Pulse,Townhouses,Community,900000,1100000,1300000,1449000,1395000,,,13,1080,6.4,55,35m,18m,32m,35m,55,Mid-Range,,,Completed 2023
189,Reportage Al Furjan Villas,Al Furjan,2021,1450000,50%,Reportage Properties,Al Furjan,Villas,Community,,,1450000,1700000,2030000,2175000,,15,1260,5.9,50,28m,22m,25m,20m,50,Mid-Range,,,Completed 2024
190,LEOS Developments Lavita,JVC,2023,720000,35%,LEOS Developments,JVC,Apartments,Community,,,720000,850000,943200,972000,,11,930,6.8,35,23m,29m,22m,18m,35,Affordable,,,Completed 2025
